date,channel,campaign_id,spend,impressions,clicks,conversions,revenue,cust_acquisition_cost,region,device,campaign_type
2023-08-31,Organic,camp_007,54.47,3562,3,0,0.0,,North,Desktop,Consideration
2024-08-26,Google,camp_029,2317.72,59447,2983,21,1598.78,110.37,North,Mobile,Conversion
2024-11-09,Affiliate,camp_025,321.38,25025,278,1,42.92,321.38,East,Desktop,Conversion
2023-06-13,Google,camp_008,887.36,41578,1645,0,0.0,,East,Mobile,Awareness
2023-10-10,Google,camp_008,1062.12,32982,1087,13,766.37,81.7,South,Desktop,Awareness
2024-01-01,Facebook,camp_009,797.09,21797,719,0,0.0,,West,Mobile,Consideration
2024-07-24,Facebook,camp_027,1095.59,69198,1518,16,1317.46,68.47,North,Mobile,Consideration
2024-03-09,Facebook,camp_028,535.06,18865,770,16,1029.98,33.44,West,Tablet,Conversion
2023-06-05,Organic,camp_030,38.26,1563,40,0,0.0,,North,Desktop,Awareness
2024-10-23,TV,camp_012,1345.94,27227,88,0,0.0,,East,Mobile,Awareness
2024-10-01,Email,camp_004,180.23,5904,89,0,0.0,,South,Mobile,Consideration
2023-07-26,Google,camp_001,1016.34,48399,980,6,452.33,169.39,South,Mobile,Consideration
2024-05-21,Google,camp_025,1968.29,72437,1857,51,5792.35,38.59,West,Mobile,Conversion
2024-12-13,Organic,camp_013,71.39,4147,134,0,0.0,,East,Mobile,Consideration
2024-04-09,Facebook,camp_001,876.1,21424,802,8,546.69,109.51,West,Desktop,Conversion
2024-05-28,Affiliate,camp_014,227.47,15393,127,0,0.0,,South,Mobile,Awareness
2024-10-22,Facebook,camp_020,490.53,12572,410,4,323.13,122.63,North,Mobile,Awareness
2023-03-06,Facebook,camp_023,601.46,24328,703,11,959.18,54.68,East,Desktop,Conversion
2024-05-19,TV,camp_004,1315.93,56678,1797,5,1091.61,263.19,East,Mobile,Awareness
2023-12-27,Email,camp_023,117.62,2674,2,0,0.0,,South,Desktop,Awareness
2024-02-28,Google,camp_016,867.64,45308,1494,11,753.65,78.88,North,Desktop,Consideration
2024-12-04,Email,camp_011,192.79,5172,12,0,0.0,,South,Mobile,Consideration
2024-05-08,Instagram,camp_013,81.07,3673,140,0,0.0,,East,Desktop,Consideration
2023-08-28,Google,camp_026,1829.14,41034,1450,23,2205.72,79.53,East,Tablet,Conversion
2024-02-24,Google,camp_019,1716.37,41640,1155,15,1737.06,114.42,East,Desktop,Conversion
2023-04-15,Email,camp_019,131.92,7687,52,0,0.0,,East,Mobile,Consideration
2023-09-15,Facebook,camp_030,1339.72,73191,761,9,678.38,148.86,West,Desktop,Consideration
2023-10-04,Affiliate,camp_018,360.07,16845,55,0,0.0,,West,Mobile,Awareness
2023-03-04,Facebook,camp_011,956.38,20701,740,0,0.0,,West,Desktop,Consideration
2023-01-07,Facebook,camp_024,655.87,38180,1083,0,0.0,,North,Desktop,Awareness
2024-07-29,Email,camp_002,149.45,7059,13,0,0.0,,West,Desktop,Conversion
2024-03-18,Email,camp_013,111.09,4857,84,0,0.0,,West,Desktop,Awareness
2023-05-02,Facebook,camp_010,818.04,45954,671,3,163.14,272.68,West,Desktop,Conversion
2023-06-14,Google,camp_013,656.04,45665,1835,0,0.0,,South,Desktop,Awareness
2024-06-16,Instagram,camp_007,673.64,19098,969,0,0.0,,West,Desktop,Consideration
2023-09-30,TV,camp_018,3775.08,109020,777,19,4036.31,198.69,West,Desktop,Conversion
2023-04-01,LinkedIn,camp_011,601.72,16751,106,2,315.55,300.86,South,Mobile,Conversion
2024-07-11,Facebook,camp_006,789.51,39093,1037,4,256.85,197.38,North,Mobile,Consideration
2024-02-11,Google,camp_011,276.25,19871,585,4,430.33,69.06,West,Desktop,Consideration
2023-12-31,Google,camp_009,1724.91,99346,99,2,200.07,862.45,West,Mobile,Consideration
2023-11-16,Google,camp_016,1036.12,33821,833,11,539.34,94.19,West,Mobile,Awareness
2023-01-25,Email,camp_015,208.0,15197,225,3,115.1,69.33,North,Desktop,Conversion
2024-01-19,Affiliate,camp_006,277.57,19012,195,2,86.96,138.79,East,Desktop,Awareness
2024-01-10,Organic,camp_028,59.63,1947,43,0,0.0,,West,Desktop,Awareness
2024-07-20,LinkedIn,camp_029,452.43,26434,280,2,221.29,226.22,East,Desktop,Awareness
2024-12-26,Facebook,camp_023,1030.15,59981,2572,0,0.0,,East,Mobile,Consideration
2023-01-22,Email,camp_004,288.04,12698,197,5,168.88,57.61,North,Mobile,Conversion
2024-03-16,Facebook,camp_026,535.07,37647,1187,0,0.0,,North,Desktop,Awareness
2024-10-20,Email,camp_002,247.54,18956,18,0,0.0,,West,Mobile,Conversion
2024-02-05,Affiliate,camp_026,362.67,21754,39,0,0.0,,North,Desktop,Consideration
2024-12-23,Email,camp_010,227.84,11397,11,0,0.0,,North,Desktop,Conversion
2023-08-24,Facebook,camp_007,1318.91,55750,1325,11,780.74,119.9,North,Desktop,Consideration
2023-06-22,Facebook,camp_009,777.47,49933,1326,32,2152.81,24.3,West,Mobile,Awareness
2023-08-23,Google,camp_025,1555.6,32483,807,0,0.0,,North,Desktop,Consideration
2023-05-18,Facebook,camp_003,597.18,21498,777,18,688.49,33.18,East,Desktop,Conversion
2023-04-29,Organic,camp_015,73.46,1998,31,0,0.0,,North,Mobile,Conversion
2024-09-29,Email,camp_016,105.47,7673,116,2,107.74,52.73,East,Mobile,Consideration
2024-05-18,Google,camp_022,603.3,29588,651,2,104.33,301.65,East,Desktop,Awareness
2024-01-28,Facebook,camp_024,1331.67,71480,1664,18,1353.31,73.98,West,Mobile,Consideration
2024-03-16,Email,camp_010,149.89,6488,138,0,0.0,,East,Mobile,Awareness
2023-08-04,TV,camp_025,2678.85,164496,1637,20,2421.68,133.94,East,Desktop,Consideration
2024-11-03,Instagram,camp_027,592.81,21627,697,2,120.11,296.41,South,Desktop,Consideration
2023-01-03,Facebook,camp_029,1079.31,76219,1959,21,1845.35,51.4,West,Desktop,Awareness
2023-09-09,Instagram,camp_027,677.57,20710,604,0,0.0,,South,Mobile,Awareness
2024-03-25,Instagram,camp_008,1036.07,39992,1103,5,358.38,207.21,North,Mobile,Conversion
2023-04-03,Google,camp_009,599.8,23572,849,8,438.95,74.98,North,Desktop,Consideration
2023-12-15,Google,camp_013,1494.77,65575,1085,0,0.0,,North,Desktop,Awareness
2024-09-16,Google,camp_026,2037.45,91555,992,11,1285.41,185.22,South,Mobile,Conversion
2024-08-02,Email,camp_011,194.77,12762,12,0,0.0,,West,Mobile,Consideration
2024-07-05,Google,camp_014,615.02,21721,698,19,956.88,32.37,West,Mobile,Conversion
2024-04-19,Facebook,camp_015,279.99,19221,484,7,514.19,40.0,East,Mobile,Consideration
2023-01-04,Facebook,camp_025,478.66,13245,386,4,155.8,119.67,North,Mobile,Awareness
2024-01-26,Facebook,camp_021,141.32,3266,78,0,0.0,,North,Desktop,Conversion
2023-06-18,Organic,camp_023,62.27,1924,30,0,0.0,,South,Desktop,Consideration
2024-05-18,Organic,camp_022,44.97,2017,22,0,0.0,,North,Desktop,Consideration
2024-12-26,Google,camp_004,1543.69,78467,2550,0,0.0,,West,Desktop,Conversion
2023-04-14,Facebook,camp_007,690.26,18987,490,7,263.66,98.61,East,Mobile,Awareness
2023-03-14,Google,camp_006,1947.94,104651,4120,82,6182.58,23.76,West,Tablet,Conversion
2024-06-27,Google,camp_004,1617.0,44407,1548,50,5435.8,32.34,South,Desktop,Conversion
2024-12-28,TV,camp_019,2885.65,182105,618,10,1980.0,288.57,South,Mobile,Conversion
2024-12-16,Facebook,camp_011,1046.09,60151,2386,0,0.0,,South,Mobile,Consideration
2023-07-25,Email,camp_003,166.18,6191,22,0,0.0,,South,Mobile,Conversion
2024-07-22,Organic,camp_005,17.95,449,10,0,0.0,,South,Desktop,Consideration
2024-11-09,LinkedIn,camp_013,422.44,27482,27,0,0.0,,West,Mobile,Consideration
2024-07-22,Facebook,camp_030,407.03,21518,654,5,231.25,81.41,North,Tablet,Awareness
2024-12-31,Email,camp_007,224.56,11896,281,0,0.0,,East,Mobile,Consideration
2024-05-09,Instagram,camp_027,704.56,40455,687,9,303.73,78.28,North,Desktop,Consideration
2024-12-19,Email,camp_009,81.13,1632,19,0,0.0,,North,Mobile,Consideration
2023-09-05,Email,camp_002,91.35,1911,1,0,0.0,,South,Mobile,Consideration
2024-02-24,TV,camp_014,1579.99,102019,3168,38,3852.47,41.58,South,Mobile,Awareness
2024-01-02,Google,camp_029,805.04,44573,2036,36,2355.32,22.36,East,Mobile,Awareness
2024-11-10,Affiliate,camp_021,423.1,8863,67,0,0.0,,East,Desktop,Conversion
2024-06-11,Facebook,camp_016,263.22,18261,561,15,702.23,17.55,East,Mobile,Conversion
2024-08-25,Email,camp_019,244.38,8829,296,8,383.94,30.55,South,Desktop,Conversion
2024-03-20,Organic,camp_027,44.61,2324,32,0,0.0,,West,Mobile,Consideration
2024-05-26,Google,camp_025,1193.36,90249,2084,15,1162.44,79.56,North,Desktop,Consideration
2024-01-20,LinkedIn,camp_021,419.82,32137,596,17,2741.43,24.7,West,Mobile,Conversion
2023-03-10,Facebook,camp_012,1074.39,26428,563,3,143.0,358.13,West,Desktop,Consideration
2024-01-24,Google,camp_010,1500.34,108893,3016,34,2986.65,44.13,North,Mobile,Conversion
2024-10-23,Email,camp_005,8.16,169,0,0,0.0,,South,Mobile,Consideration
2024-01-07,Facebook,camp_023,52.42,3309,102,2,89.43,26.21,North,Desktop,Awareness
2024-12-21,Google,camp_010,1335.83,68332,1839,0,0.0,,East,Desktop,Consideration
2023-05-27,Google,camp_030,1727.93,77556,2742,64,6200.73,27.0,West,Mobile,Conversion
2024-03-24,Facebook,camp_002,786.5,59763,2947,25,1591.58,31.46,East,Mobile,Consideration
2023-11-01,Affiliate,camp_026,426.61,24180,343,9,435.29,47.4,North,Tablet,Conversion
2024-02-20,TV,camp_016,1820.13,131869,3462,5,642.72,364.03,North,Mobile,Consideration
2024-02-17,Facebook,camp_002,712.03,17474,740,0,0.0,,North,Mobile,Consideration
2024-10-09,Organic,camp_012,63.83,1560,6,0,0.0,,East,Mobile,Conversion
2024-09-26,Facebook,camp_003,802.59,45350,959,33,1846.42,24.32,East,Desktop,Conversion
2024-04-23,TV,camp_027,1838.81,125534,1247,9,890.75,204.31,South,Desktop,Consideration
2023-09-07,Email,camp_016,240.78,15773,31,0,0.0,,North,Desktop,Consideration
2024-03-17,LinkedIn,camp_023,430.5,24944,484,1,149.37,430.5,East,Mobile,Consideration
2024-06-03,Email,camp_025,88.97,6416,124,3,132.26,29.66,West,Mobile,Conversion
2023-06-27,Google,camp_026,1740.77,62395,1186,25,1784.12,69.63,East,Mobile,Conversion
2023-06-05,Google,camp_014,1561.56,37147,1342,33,2680.58,47.32,North,Mobile,Conversion
2023-12-06,Organic,camp_020,14.0,628,4,0,0.0,,West,Desktop,Awareness
2024-01-01,Organic,camp_008,67.12,4666,24,0,0.0,,East,Mobile,Conversion
2024-11-18,Organic,camp_012,120.99,4626,4,0,0.0,,East,Mobile,Conversion
